date,player,consensus_implied,best_price,homered,flat_bet_pl
2026-05-01,Aaron Judge,0.327,215,False,-10.0
2026-05-01,Kyle Schwarber,0.271,325,False,-10.0
2026-05-01,Junior Caminero,0.262,300,True,30.0
2026-05-01,Matt Olson,0.274,280,True,28.0
2026-05-01,Mike Trout,0.276,270,False,-10.0
2026-05-01,Shea Langeliers,0.25,305,False,-10.0
2026-05-01,Munetaka Murakami,0.266,300,True,30.0
2026-05-01,Cal Raleigh,0.255,300,False,-10.0
2026-05-02,Aaron Judge,0.338,205,False,-10.0
2026-05-02,Nick Kurtz,0.331,210,False,-10.0
2026-05-02,Kyle Schwarber,0.271,340,False,-10.0
2026-05-02,Shohei Ohtani,0.278,265,False,-10.0
2026-05-02,Matt Olson,0.282,265,True,26.5
2026-05-02,Munetaka Murakami,0.255,310,False,-10.0
2026-05-02,Juan Soto,0.254,300,False,-10.0
2026-05-02,Cal Raleigh,0.286,250,False,-10.0
2026-05-03,Aaron Judge,0.336,200,True,20.0
2026-05-03,Kyle Schwarber,0.293,275,False,-10.0
2026-05-03,Shohei Ohtani,0.276,270,False,-10.0
2026-05-03,Ketel Marte,0.335,205,False,-10.0
2026-05-03,Hunter Goodman,0.285,255,False,-10.0
2026-05-03,Jose Ramirez,0.261,300,False,-10.0
2026-05-03,Juan Soto,0.277,265,False,-10.0
2026-05-04,Juan Soto,0.328,210,False,-10.0
2026-05-04,Kyle Schwarber,0.271,300,False,-10.0
2026-05-04,Junior Caminero,0.271,300,False,-10.0
2026-05-04,Aaron Judge,0.352,210,True,21.0
2026-05-04,Seiya Suzuki,0.253,300,True,30.0
2026-05-04,Shohei Ohtani,0.313,225,False,-10.0
2026-05-05,Kyle Schwarber,0.341,200,False,-10.0
2026-05-05,Byron Buxton,0.276,290,True,29.0
2026-05-05,Aaron Judge,0.341,200,False,-10.0
2026-05-05,Yordan Alvarez,0.262,300,False,-10.0
2026-05-05,Munetaka Murakami,0.333,200,False,-10.0
2026-05-05,Cal Raleigh,0.275,280,False,-10.0
2026-05-06,Shohei Ohtani,0.29,265,False,-10.0
2026-05-06,Munetaka Murakami,0.29,265,False,-10.0
2026-05-06,Cal Raleigh,0.268,285,False,-10.0
2026-05-06,Kyle Schwarber,0.313,230,False,-10.0
2026-05-06,James Wood,0.317,225,False,-10.0
2026-05-06,Aaron Judge,0.318,240,True,24.0
2026-05-07,Aaron Judge,0.328,240,False,-10.0
2026-05-07,Byron Buxton,0.266,295,False,-10.0
2026-05-07,Juan Soto,0.289,255,False,-10.0
2026-05-07,Kyle Schwarber,0.31,245,True,24.5
2026-05-08,Yordan Alvarez,0.282,265,True,26.5
2026-05-08,Kyle Schwarber,0.295,275,True,27.5
2026-05-08,Munetaka Murakami,0.287,260,True,26.0
2026-05-08,Aaron Judge,0.303,235,False,-10.0
2026-05-08,Juan Soto,0.3,240,False,-10.0
2026-05-08,Matt Olson,0.267,325,False,-10.0
2026-05-09,Nick Kurtz,0.274,280,False,-10.0
2026-05-09,Yordan Alvarez,0.302,250,False,-10.0
2026-05-09,Kyle Schwarber,0.28,270,True,27.0
2026-05-09,Byron Buxton,0.267,290,True,29.0
2026-05-09,Munetaka Murakami,0.312,270,False,-10.0
2026-05-09,Aaron Judge,0.31,280,False,-10.0
2026-05-09,Juan Soto,0.273,285,False,-10.0
2026-05-09,Shohei Ohtani,0.311,250,False,-10.0
2026-05-10,Nick Kurtz,0.287,255,False,-10.0
2026-05-10,Kyle Schwarber,0.33,215,True,21.5
2026-05-10,Mike Trout,0.251,305,False,-10.0
2026-05-10,Yordan Alvarez,0.311,225,False,-10.0
